Comunidad,Grupo Penal,Año,Hechos esclarecidos
Cantabria,Interferencia en los datos y en el sistema,2011,0.0
Castilla y León,Acceso e interceptación ilícita,2019,48.0
Castilla y León,Acceso e interceptación ilícita,2018,40.0
Castilla y León,Acceso e interceptación ilícita,2017,37.0
Castilla y León,Acceso e interceptación ilícita,2016,41.0
Castilla y León,Acceso e interceptación ilícita,2015,35.0
Castilla y León,Acceso e interceptación ilícita,2014,27.0
Castilla y León,Acceso e interceptación ilícita,2013,34.0
Castilla y León,Acceso e interceptación ilícita,2012,17.0
Castilla y León,Acceso e interceptación ilícita,2011,21.0
Castilla y León,Amenazas y coacciones,2019,560.0
Castilla y León,Amenazas y coacciones,2018,541.0
Castilla y León,Amenazas y coacciones,2017,516.0
Castilla y León,Amenazas y coacciones,2016,513.0
Castilla y León,Amenazas y coacciones,2015,441.0
Castilla y León,Amenazas y coacciones,2014,481.0
Castilla y León,Amenazas y coacciones,2013,461.0
Castilla y León,Amenazas y coacciones,2012,475.0
Castilla y León,Amenazas y coacciones,2011,518.0
Castilla y León,Contra el honor,2019,58.0
Castilla y León,Contra el honor,2018,60.0
Castilla y León,Contra el honor,2017,61.0
Castilla y León,Contra el honor,2016,58.0
Castilla y León,Contra el honor,2015,86.0
Castilla y León,Contra el honor,2014,102.0
Castilla y León,Contra el honor,2013,101.0
Castilla y León,Contra el honor,2012,102.0
Castilla y León,Contra el honor,2011,88.0
Castilla y León,Contra la propiedad industrial/intelectual,2019,1.0
Castilla y León,Contra la propiedad industrial/intelectual,2018,32.0
Castilla y León,Contra la propiedad industrial/intelectual,2017,6.0
Castilla y León,Contra la propiedad industrial/intelectual,2016,2.0
Castilla y León,Contra la propiedad industrial/intelectual,2015,5.0
Castilla y León,Contra la propiedad industrial/intelectual,2014,3.0
Castilla y León,Contra la propiedad industrial/intelectual,2013,2.0
Castilla y León,Contra la propiedad industrial/intelectual,2012,4.0
Castilla y León,Contra la propiedad industrial/intelectual,2011,21.0
Castilla y León,Delitos sexuales,2019,69.0
Castilla y León,Delitos sexuales,2018,46.0
Castilla y León,Delitos sexuales,2017,45.0
Castilla y León,Delitos sexuales,2016,40.0
Castilla y León,Delitos sexuales,2015,25.0
Castilla y León,Delitos sexuales,2014,30.0
Castilla y León,Delitos sexuales,2013,11.0
Castilla y León,Delitos sexuales,2012,23.0
Castilla y León,Delitos sexuales,2011,15.0
Castilla y León,Falsificación informática,2019,92.0
Castilla y León,Falsificación informática,2018,88.0
Castilla y León,Falsificación informática,2017,58.0
Castilla y León,Falsificación informática,2016,47.0
Castilla y León,Falsificación informática,2015,42.0
Castilla y León,Falsificación informática,2014,33.0
Castilla y León,Falsificación informática,2013,20.0
Castilla y León,Falsificación informática,2012,11.0
Castilla y León,Falsificación informática,2011,13.0
Castilla y León,Fraude informático,2019,1239.0
Castilla y León,Fraude informático,2018,1032.0
Castilla y León,Fraude informático,2017,914.0
Castilla y León,Fraude informático,2016,759.0
Castilla y León,Fraude informático,2015,655.0
Castilla y León,Fraude informático,2014,594.0
Castilla y León,Fraude informático,2013,484.0
Castilla y León,Fraude informático,2012,413.0
Castilla y León,Fraude informático,2011,287.0
Castilla y León,Interferencia en los datos y en el sistema,2019,3.0
Castilla y León,Interferencia en los datos y en el sistema,2018,2.0
Castilla y León,Interferencia en los datos y en el sistema,2017,6.0
Castilla y León,Interferencia en los datos y en el sistema,2016,9.0
Castilla y León,Interferencia en los datos y en el sistema,2015,4.0
Castilla y León,Interferencia en los datos y en el sistema,2014,0.0
Castilla y León,Interferencia en los datos y en el sistema,2013,1.0
Castilla y León,Interferencia en los datos y en el sistema,2012,2.0
Castilla y León,Interferencia en los datos y en el sistema,2011,6.0
Castilla - La Mancha,Acceso e interceptación ilícita,2019,47.0
